OBJECTID,PRECINCT,Shape_STArea__,Shape_STLength__
1,1,96598675.9846299,47205.53650426
2,2,351536780.866636,89459.77972047
3,3,461624538.510794,103520.75502078
4,4,307385279.501938,93920.8687455
5,5,384251934.102885,89658.7381457
